title,lead,byline,link
Lights come back on in Texas as water woes rise in the South,"AUSTIN, Texas — Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the crisi...","by
The Associated Press -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/lights-come-back-texas-water-woes-rise-south/?latest
"Biden to lay out his foreign policy at G-7, Munich summit","WASHINGTON — Joe Biden is making his first big appearance on the global stage as president on Friday, offering Group of Seven allies and other foreign leaders a...","by
The Associated Press -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/biden-lay-out-his-foreign-policy-g-7-munich-summit/?latest
Tractor-trailer fire temporarily blocks I-40,"In Lonoke County, all eastbound lanes were temporarily blocked Friday morning on Interstate 40 near the Carlisle exit as a result of a tractor-trailer fire, the...","by
Brianna Kwasnik -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/tractor-trailer-fire-temporarily-blocks-i-40/?latest
Central Arkansas utility asks customers to begin conserving water,"In Lonoke County, all eastbound lanes were temporarily blocked Friday morning on Interstate 40 near the Carlisle exit as a result of a tractor-trailer fire, the...","by
Arkansas Democrat-Gazette  -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/central-arkansas-utility-asks-customers-begin-cons/?latest
OPINION | JOHN DEERING CARTOON: Ready to move on,See the latest work from editorial cartoonist John Deering.,"by
John Deering -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/opinion-john-deering-cartoon-read-move/?latest
Washington County officials consider CARES Act spending,Washington County officials on Thursday continued their discussion on how best to use $4.5 million received in CARES Act money for costs tied to the pandemic.,"by
Tom Sissom -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/washington-county-officials-consider-cares-act/?latest
"New hate crime bill in the works, state chamber leader tells NWA Council","Supporters of hate crime legislation are revising the bill to allay concerns of opponents in the Legislature, the president of the Arkansas State Chamber of Com...","by
Doug Thompson -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/new-hate-crime-bill-in-the-works-state-chamber/?latest
Gas service restored to most in Pea Ridge,"Natural gas service was restored Thursday to nearly all 2,300 customers in Pea Ridge, according to a news release from Black Hills Energy.","by
Tracy Neal -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/gas-service-restored-to-most-in-pea-ridge/?latest
"State digging out as bitter cold ebbs; snow thaw raises alert over black ice, icicles","As Arkansas continues to thaw out today after subzero temperatures and record snowfall, the National Weather Service in North Little Rock warned about black ice...","by
Bill Bowden -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/state-digging-out-as-bitter-cold-ebbs/?latest
Frozen Texans face water woes,Power was restored to more homes and businesses in Texas on Thursday after a deadly blast of winter this week overwhelmed the electrical grid and left millions...,"by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/frozen-texans-face-water-woes/?latest
